run_id,pflops,final_loss
TRAIN-876,279.53710426069404,3.9132486979166665
TRAIN-877,663.5336731774157,3.7018229166666665
TRAIN-879,909.9583587090432,3.6315104166666665
TRAIN-880,1195.2138100093748,3.5704752604166665
TRAIN-882,1406.9419753026355,3.5546875
TRAIN-884,1892.5450727302102,3.4912109375
TRAIN-885,2458.454974569382,3.4449869791666665
TRAIN-888,3809.10871411635,3.3709309895833335
TRAIN-889,5778.882860219892,3.2975260416666665
TRAIN-890,8209.568827629895,3.2467447916666665
TRAIN-892,16314.947550597612,3.1282552083333335
TRAIN-956,21102.97850674938,3.0885416666666665
TRAIN-947,32298.8709616445,3.0379231770833335
