dataset,file,a,b,c,c_fixed,n_points,pflops_min,pflops_max,loss_min,loss_max
scaling_data_v_baseline,scaling_analysis/scaling_data_v_baseline.csv,4.199942232141359,-0.11713400551657792,1.779071529852782,False,13,1407.0333313961164,69809.79788726088,2.9130859375,3.58837890625
scaling_data_v_spelling_bee_frontier,scaling_analysis/scaling_data_v_spelling_bee_frontier.csv,4.122689217766907,-0.11644403291330921,1.779071529852782,True,13,1407.0333313961164,69944.91275339838,2.8974609375,3.5654296875
