dataset,file,a,b,c,c_fixed,n_points,pflops_min,pflops_max,loss_min,loss_max
scaling_data_baseline,scaling_analysis/scaling_data_baseline.csv,4.763400595343619,-0.057606849321936535,0.4140165230629429,False,13,699.8341411720397,56751.626585578146,2.9518229166666665,3.68798828125
scaling_data_gelu,scaling_analysis/scaling_data_gelu.csv,4.814394627198373,-0.058443097738220845,0.4140165230629429,True,8,671.5943453668148,6008.031968841695,3.32080078125,3.71728515625
scaling_data_relu,scaling_analysis/scaling_data_relu.csv,4.828489655438397,-0.057619685875654844,0.4140165230629429,True,8,671.5943453668148,6008.031968841695,3.3470052083333335,3.7438151041666665
