dataset,file,a,b,c,c_fixed,n_points,pflops_min,pflops_max,loss_min,loss_max
scaling_data_baseline,scaling_analysis/scaling_data_baseline.csv,3.9303890812903886,-0.12608788568922974,1.979772023910233,False,11,291.42673243766785,22869.976825284528,3.0755208333333335,3.9166666666666665
scaling_data_relu,scaling_analysis/scaling_data_relu.csv,3.87190179340143,-0.12059410570169575,1.979772023910233,True,9,267.8919667950551,6008.031968841695,3.3470052083333335,3.9645182291666665
