run_id,pflops,final_loss
TRAIN-1080,291.42371223679794,3.89013671875
TRAIN-1072,699.8282897404723,3.6702473958333335
TRAIN-1103,964.2369676109414,3.60302734375
TRAIN-1108,1270.9267967154585,3.5476888020833335
TRAIN-1100,1499.0810184878653,3.52490234375
TRAIN-1078,1499.0810184878653,3.53564453125
TRAIN-1086,2028.2114972760146,3.4749348958333335
TRAIN-1079,2645.929660294103,3.421875
TRAIN-1087,4087.93614523564,3.3473307291666665
TRAIN-1082,6228.209471877808,3.2783203125
TRAIN-1089,8875.61428354361,3.2189127604166665
TRAIN-1091,17645.87664436101,3.1062825520833335
TRAIN-1083,22869.909782774415,3.0670572916666665
