run_id,pflops,final_loss
TRAIN-738,267.8948661999698,3.9876302083333335
TRAIN-400,671.5853564490548,3.7613932291666665
TRAIN-523,1208.9872192477594,3.626953125
TRAIN-426,2645.943340889014,3.4724934895833335
TRAIN-626,3779.04997561113,3.4098307291666665
TRAIN-459,6008.059450525483,3.33154296875
TRAIN-618,8531.491026685133,3.279296875
TRAIN-640,16576.970438895205,3.1663411458333335
TRAIN-667,21450.74744880267,3.1295572916666665
TRAIN-660,35162.67485496921,3.0608723958333335
TRAIN-688,56751.626585578146,2.98583984375
TRAIN-684,132435.31986619858,2.87451171875
