run_id,pflops,final_loss
TRAIN-1343,671.9369150327685,3.7509765625
TRAIN-1345,1407.0333313961164,3.5654296875
TRAIN-1355,1773.1117935230975,3.4986979166666665
TRAIN-1351,2181.4714068841267,3.4471028645833335
TRAIN-1372,2701.5936262149244,3.43310546875
TRAIN-1375,3398.2564003070606,3.3790690104166665
TRAIN-1360,3398.2564003070606,3.37841796875
TRAIN-1377,4174.7457922396325,3.3263346354166665
TRAIN-1369,6303.683417506579,3.2701822916666665
TRAIN-1385,9326.694199870883,3.21044921875
TRAIN-1391,12495.012905361604,3.1529947916666665
TRAIN-1370,23961.176682654597,3.0520833333333335
TRAIN-1387,45694.25050680793,2.9679361979166665
TRAIN-1388,69944.91275339838,2.8974609375
